provider_id,provider_name,specialty,region
PR0049,Hickman Ltd Associates,General Surgery,West
PR0050,"Harris, Collins and Carney Health",Orthopedics,Northeast
PR0051,"Brooks, Lam and Hayes Medical Group",Oncology,Southwest
PR0052,Walker LLC Health,Emergency Medicine,West
PR0053,Chapman and Sons Medical Group,Oncology,Midwest
PR0054,"Robinson, Jones and Welch Clinic",Orthopedics,Southwest
PR0055,Jones Inc Clinic,Cardiology,West
PR0056,Jones-Young Medical Group,Nephrology,Southwest
PR0057,"Washington, Ryan and Cummings Clinic",Oncology,Midwest
PR0058,"Johnston, Sanchez and Kennedy Health",General Surgery,Southwest
PR0059,Lee-Davis Health,Nephrology,Northeast
PR0060,Gomez-Jenkins Medical Group,Primary Care,Midwest
PR0061,"Brown, Valdez and Lucas Associates",Nephrology,West
PR0062,Powell LLC Health,Nephrology,Midwest
PR0063,Wright and Sons Clinic,Nephrology,West
PR0064,"West, Henderson and Ramirez Health",Primary Care,Southeast
PR0065,Baxter Inc Health,Endocrinology,Midwest
PR0066,Morton-Chase Associates,Radiology,Northeast
PR0067,Williams PLC Medical Group,Oncology,Northeast
PR0068,Novak and Sons Associates,General Surgery,Southwest
PR0069,Russell Group Clinic,Behavioral Health,Midwest
PR0070,Hancock Inc Medical Group,Primary Care,Northeast
PR0071,Gray Group Medical Group,Endocrinology,Midwest
PR0072,House-Glover Clinic,Primary Care,Southeast
PR0073,Henderson-Bernard Health,Radiology,West
PR0074,"Stanley, Tucker and Lee Medical Group",Primary Care,Midwest
PR0075,Novak PLC Medical Group,Cardiology,Southwest
PR0076,"Daniels, Adkins and Brown Associates",General Surgery,Southwest
PR0077,"Woods, Calhoun and Schmidt Health",Behavioral Health,Midwest
PR0078,Yu Inc Health,Primary Care,West
PR0079,Jones Inc Clinic,Oncology,Midwest
PR0080,"Hensley, Powell and David Medical Group",Primary Care,Southwest
PR0081,"Sanchez, Wheeler and Harvey Associates",Radiology,West
PR0082,Sandoval-Cunningham Associates,Orthopedics,Southwest
PR0083,Donovan-Harris Health,Oncology,Southeast
PR0084,"Edwards, Baker and Anderson Health",Orthopedics,Midwest
PR0085,"Evans, Stewart and Walton Associates",Oncology,Southwest
PR0086,Smith PLC Medical Group,Nephrology,Southeast
PR0087,"Ferrell, Jones and Lewis Medical Group",Endocrinology,Midwest
PR0088,Anderson-Bailey Medical Group,Nephrology,Southeast
PR0089,Suarez LLC Health,Behavioral Health,Southeast
PR0090,Moore-Bass Health,Orthopedics,Southwest
PR0091,"Turner, Riggs and Roman Associates",General Surgery,Northeast
PR0092,"Smith, Montoya and Evans Associates",Oncology,Northeast
PR0093,"Garcia, Humphrey and Baker Medical Group",Cardiology,Southwest
PR0094,Newton and Sons Medical Group,Emergency Medicine,Midwest
PR0095,Campbell-Clark Medical Group,Behavioral Health,Northeast
PR0096,Harris-Walters Health,Orthopedics,Midwest
PR0097,Wagner-King Associates,Oncology,Northeast
PR0098,Davis Group Associates,Endocrinology,Midwest
PR0099,Williams-Cook Associates,Primary Care,Southwest
PR0100,Walsh LLC Associates,Radiology,Southwest
PR0101,Figueroa PLC Associates,Orthopedics,Northeast
PR0102,"Patterson, Smith and Jones Medical Group",Orthopedics,West
PR0103,"Mckee, Gardner and Davenport Associates",Cardiology,Southeast
PR0104,"Tran, Jordan and Williams Clinic",Cardiology,Midwest
PR0105,Nolan-Flynn Associates,Nephrology,Northeast
PR0106,Nolan and Sons Medical Group,Oncology,West
PR0107,"Wright, Garcia and Deleon Associates",Oncology,Midwest
PR0108,Dickson-Brady Associates,Primary Care,Northeast
PR0109,Hancock and Sons Clinic,Orthopedics,West
PR0110,Johnson-Doyle Clinic,Orthopedics,Midwest
PR0111,Patton-Jenkins Medical Group,Cardiology,Northeast
PR0112,"Shields, Cochran and Adams Medical Group",Primary Care,Southwest
PR0113,"Rodriguez, Brennan and Garrison Associates",Orthopedics,Midwest
PR0114,Gonzalez Group Associates,Primary Care,Northeast
PR0115,Torres-Pope Clinic,Emergency Medicine,Midwest
PR0116,Walker Ltd Medical Group,Nephrology,West
PR0117,Ross LLC Clinic,Primary Care,West
PR0118,Rasmussen LLC Associates,Orthopedics,Northeast
PR0119,May-Ross Health,Oncology,West
PR0120,"Rivera, Johnson and Wiley Associates",Emergency Medicine,Northeast
PR0121,White-Estes Associates,Orthopedics,Southeast
PR0122,Johnson-Carlson Clinic,Nephrology,Southeast
PR0123,Chandler-Edwards Associates,Orthopedics,Southeast
PR0124,"Joyce, Wilson and Lam Health",Radiology,Southeast
PR0125,Scott Ltd Clinic,General Surgery,Southeast
PR0126,Smith-Frost Associates,Primary Care,Northeast
PR0127,"Mcdaniel, Bentley and Mclaughlin Health",Nephrology,West
PR0128,Diaz Inc Health,General Surgery,Southeast
PR0129,"Mccall, Hanson and Alvarado Clinic",Orthopedics,Northeast
PR0130,Cortez LLC Medical Group,Endocrinology,Southwest
PR0131,"Parker, Ortiz and Powell Health",General Surgery,Northeast
PR0132,Spencer-Lee Medical Group,Oncology,Southwest
PR0133,"Bentley, Byrd and Orr Associates",Primary Care,Southwest
PR0134,"Carroll, Sullivan and Bass Health",Orthopedics,Southwest
PR0135,Mitchell-Jordan Clinic,Cardiology,Midwest
PR0136,"Lawson, Morris and Ramos Clinic",Nephrology,West
PR0137,"Lewis, Kennedy and Santana Clinic",Radiology,Southeast
PR0138,"Jackson, Miller and Robertson Medical Group",Radiology,Southwest
PR0139,"Harvey, Davis and Crane Clinic",General Surgery,Midwest
PR0140,Chambers and Sons Medical Group,Emergency Medicine,West
PR0141,Hernandez Inc Health,Emergency Medicine,Southwest
PR0142,Riggs PLC Medical Group,Radiology,Southwest
PR0143,Gibson Ltd Health,Orthopedics,Southwest
PR0144,"Lee, Horton and Snyder Associates",Cardiology,Southeast
PR0145,Hernandez Ltd Medical Group,Orthopedics,Midwest
PR0146,Stafford Inc Health,General Surgery,Southeast
PR0147,Robinson-Brock Clinic,Emergency Medicine,West
PR0148,"Holmes, Williams and Wright Health",Behavioral Health,Northeast
PR0149,Bryant Group Medical Group,Emergency Medicine,Southeast
PR0150,"Schmidt, Hansen and Stewart Medical Group",General Surgery,Southeast
PR0151,Salazar-Ball Associates,Radiology,Northeast
PR0152,"Simmons, Meadows and Griffin Medical Group",Endocrinology,West
PR0153,Manning Group Associates,Primary Care,West
PR0154,Green-Wright Associates,Behavioral Health,West
PR0155,"Ramirez, Strickland and Washington Medical Group",Radiology,Midwest
PR0156,Hill Inc Associates,General Surgery,Midwest
PR0157,"Mitchell, Nelson and Flores Clinic",Emergency Medicine,Northeast
PR0158,"Miller, Hernandez and Reyes Health",Emergency Medicine,Northeast
PR0159,Mccarthy Inc Medical Group,Oncology,Southwest
PR0160,Russell-Daniels Clinic,General Surgery,West
PR0161,Brown-Wall Associates,Behavioral Health,Northeast
PR0162,Stein-Silva Health,Emergency Medicine,Southeast
PR0163,"Smith, Gilmore and Johnston Clinic",General Surgery,West
PR0164,Smith-Bell Clinic,Oncology,Southwest
PR0165,Castaneda-Ashley Clinic,General Surgery,Midwest
PR0166,Medina-Navarro Associates,General Surgery,Northeast
PR0167,"Hurst, Freeman and Nelson Medical Group",Endocrinology,West
PR0168,Johnson-Rogers Associates,Oncology,Southeast
PR0169,"Yates, Ramsey and Pittman Associates",Primary Care,Midwest
PR0170,Hooper PLC Associates,Oncology,Southwest
PR0171,Meadows PLC Health,Cardiology,Southwest
PR0172,"Alvarado, Miller and Patterson Medical Group",Primary Care,West
PR0173,White-Green Health,Orthopedics,West
PR0174,Lewis-Murphy Medical Group,Orthopedics,Northeast
PR0175,Ramirez-Bean Clinic,Endocrinology,Midwest
PR0176,King-Miller Medical Group,Cardiology,Midwest
PR0177,Curry Inc Health,Cardiology,Northeast
PR0178,Walker-Jones Associates,General Surgery,West
PR0179,"Williams, Johnson and Wright Clinic",General Surgery,Southeast
PR0180,Howell and Sons Health,Cardiology,Northeast
PR0181,Wells Inc Associates,Behavioral Health,Southeast
PR0182,"Gould, Marshall and Scott Clinic",Emergency Medicine,West
PR0183,Jackson-Lawson Associates,Endocrinology,Northeast
PR0184,"Higgins, Strickland and Martin Medical Group",Emergency Medicine,Northeast
PR0185,Rodriguez-Johnson Clinic,Oncology,West
PR0186,Johnston-Odonnell Associates,Nephrology,Midwest
PR0187,Sanders-Espinoza Health,Primary Care,Southwest
PR0188,Vargas Ltd Medical Group,Cardiology,West
PR0189,Garcia LLC Health,Primary Care,West
PR0190,"Burke, Martinez and Riggs Medical Group",Behavioral Health,Midwest
PR0191,Reed Group Clinic,Nephrology,Northeast
PR0192,"Wood, Hunter and Peterson Clinic",Primary Care,Southwest
PR0193,Short-Garcia Clinic,Nephrology,West
PR0194,Reid-Poole Medical Group,Orthopedics,Southwest
PR0195,"Hernandez, Thompson and Boyd Health",Nephrology,Southwest
PR0196,"Nelson, Morton and Medina Health",Nephrology,Southwest
PR0197,Marshall-Petersen Health,Oncology,Southeast
PR0198,"Adams, Christian and Rivas Medical Group",Emergency Medicine,Midwest
PR0199,Ramirez Group Associates,Nephrology,Midwest
PR0200,Christensen PLC Associates,Emergency Medicine,West
PR0201,"Barnett, Rogers and Snyder Associates",Behavioral Health,Northeast
PR0202,White-Lewis Medical Group,Behavioral Health,West
PR0203,Peterson-Beard Clinic,General Surgery,Southeast
PR0204,"Beard, Peters and Black Health",Emergency Medicine,West
PR0205,Miller Ltd Health,Cardiology,Southwest
PR0206,Freeman-Chang Clinic,Nephrology,Southeast
PR0207,"Alvarez, Joseph and West Medical Group",Primary Care,West
PR0208,Davis and Sons Clinic,Endocrinology,Northeast
PR0209,Holt-Torres Health,Cardiology,Southeast
PR0210,"Wood, Tran and Cooper Medical Group",Cardiology,West
PR0211,"Pierce, Bell and Chavez Clinic",Emergency Medicine,Midwest
PR0212,King-Martinez Associates,Endocrinology,West
PR0213,Stewart Ltd Clinic,Primary Care,Southwest
PR0214,"Tapia, Vaughn and Lee Health",Primary Care,Northeast
PR0215,"Washington, Hardy and Bray Associates",Oncology,Southwest
PR0216,"Carlson, Hooper and Wall Medical Group",Orthopedics,Southwest
PR0217,Perez-White Health,Radiology,Midwest
PR0218,Erickson and Sons Clinic,General Surgery,Midwest
PR0219,Williams-Brown Clinic,Behavioral Health,Midwest
PR0220,Terry-Martinez Associates,Cardiology,Southeast
PR0221,Garcia-Smith Associates,Oncology,West
PR0222,Harrison-Alexander Health,Nephrology,Northeast
PR0223,Sheppard LLC Medical Group,Orthopedics,Southwest
PR0224,Wilson-Jones Health,Nephrology,Southwest
PR0225,Jones-Soto Medical Group,Primary Care,Northeast
PR0226,Hernandez PLC Medical Group,Radiology,Southeast
PR0227,Miller-Wright Associates,Emergency Medicine,West
PR0228,"Duran, Obrien and Gibbs Associates",Emergency Medicine,Midwest
PR0229,Rowe Group Associates,Orthopedics,Northeast
PR0230,Kerr-Evans Health,Cardiology,Northeast
PR0231,"Branch, Torres and Oliver Clinic",Primary Care,Northeast
PR0232,"Choi, Garcia and Farmer Clinic",Emergency Medicine,Midwest
PR0233,"Clark, Guerrero and Moore Medical Group",Behavioral Health,Midwest
PR0234,Arnold and Sons Associates,General Surgery,Southwest
PR0235,Ortiz Ltd Associates,Endocrinology,West
PR0236,"Harrison, Johnson and Roberts Clinic",Endocrinology,Southwest
PR0237,Warner-Gibson Clinic,Oncology,Southeast
PR0238,"Hall, Baker and Moody Associates",Cardiology,Southwest
PR0239,"Guerrero, Peck and Coleman Medical Group",Emergency Medicine,Southwest
PR0240,"Walker, Hernandez and Baker Health",Radiology,Northeast
PR0241,Jones and Sons Medical Group,Nephrology,West
PR0242,Larson-Holloway Medical Group,Oncology,Southwest
PR0243,Gonzales-Harrison Medical Group,Orthopedics,Southeast
PR0244,Lyons-Bender Associates,Orthopedics,West
PR0245,"Fernandez, Kim and George Clinic",Nephrology,Southeast
PR0246,Navarro-Munoz Clinic,Endocrinology,Southeast
PR0247,Davis Ltd Health,Emergency Medicine,Northeast
PR0248,"Matthews, Smith and Hubbard Medical Group",Radiology,Southeast
PR0249,Johnston-Hines Health,Primary Care,West
PR0250,Ruiz Ltd Health,General Surgery,Northeast
PR0251,Moon-White Health,Radiology,Midwest
PR0252,"Graham, Olsen and Costa Medical Group",Primary Care,Northeast
PR0253,Bailey-Cook Medical Group,Cardiology,Midwest
PR0254,"Garcia, Martin and Jenkins Medical Group",Primary Care,Southwest
PR0255,Roberts-Landry Medical Group,Primary Care,West
PR0256,"Johnson, Miller and King Health",Radiology,West
PR0257,Cordova Group Medical Group,Behavioral Health,West
PR0258,"Bryan, Smith and Booth Clinic",Emergency Medicine,Southeast
PR0259,Gutierrez-Lopez Medical Group,Orthopedics,West
PR0260,Dean-Jimenez Clinic,Nephrology,Northeast
PR0261,Wolf-Harris Medical Group,Orthopedics,West
PR0262,"Anderson, Roberts and Gilmore Clinic",Oncology,Northeast
PR0263,Martinez-Dudley Associates,Primary Care,Southeast
PR0264,"Lloyd, Mckinney and Collins Health",Endocrinology,Southeast
PR0265,Tran Inc Clinic,General Surgery,Midwest
PR0266,Gay Inc Associates,Cardiology,Northeast
PR0267,Valentine-Holland Associates,Radiology,West
PR0268,Jimenez Ltd Medical Group,Nephrology,West
PR0269,Hicks-Hill Clinic,Emergency Medicine,Southeast
PR0270,Baird-Sanchez Health,Orthopedics,Southwest
PR0271,"Thomas, Lee and Greene Clinic",Cardiology,Southeast
PR0272,"Suarez, Shields and Hill Clinic",Cardiology,Midwest
PR0273,Morgan-French Health,Orthopedics,Southeast
PR0274,Hoover-Campbell Medical Group,Oncology,Northeast
PR0275,Monroe-Carpenter Health,Endocrinology,Southwest
PR0276,"Burns, Hernandez and Ryan Clinic",Behavioral Health,Midwest
PR0277,Cook-Hines Medical Group,Primary Care,West
PR0278,Gibson-Morris Clinic,Oncology,Northeast
PR0279,Pollard and Sons Medical Group,General Surgery,Southwest
PR0280,"Reyes, Chase and Jenkins Associates",Oncology,West
PR0281,Garner-Thornton Clinic,Cardiology,West
PR0282,Hughes-Alvarado Medical Group,Cardiology,Midwest
PR0283,"Pollard, Simpson and Johnson Health",Orthopedics,Northeast
PR0284,"Sanford, Rivera and Garcia Health",Behavioral Health,Midwest
PR0285,Garcia-Lozano Associates,Radiology,Southwest
PR0286,Bowen Group Associates,Endocrinology,Northeast
PR0287,"Booker, Jones and Harrington Associates",Orthopedics,Midwest
PR0288,Morgan-Schwartz Medical Group,Cardiology,Southeast
PR0289,"Miller, Murphy and Craig Health",Orthopedics,West
PR0290,"James, Stewart and Higgins Clinic",Emergency Medicine,Southwest
PR0291,Brennan-Johnson Medical Group,General Surgery,West
PR0292,Young Ltd Medical Group,Radiology,West
PR0293,Bright-Francis Associates,Nephrology,Southeast
PR0294,Good-Hodges Medical Group,Cardiology,Southeast
PR0295,"Brennan, Wallace and Benson Clinic",Nephrology,Northeast
PR0296,Williams Inc Clinic,Nephrology,Midwest
PR0297,Howard-Jordan Clinic,Primary Care,Southwest
PR0298,Schmidt PLC Associates,Primary Care,Northeast
PR0299,"Sparks, Jackson and Miller Medical Group",Orthopedics,Southwest
PR0300,Harvey-Allen Clinic,Endocrinology,Southeast
PR0301,"Thomas, Murray and King Clinic",Behavioral Health,Southeast
PR0302,Estrada-Nolan Clinic,General Surgery,Midwest
PR0303,Santana-Byrd Health,Endocrinology,Midwest
PR0304,Jones LLC Clinic,Behavioral Health,Midwest
PR0305,"Evans, Hayden and Vaughn Clinic",Cardiology,Midwest
PR0306,Bruce-Gonzalez Health,Orthopedics,Northeast
PR0307,Castaneda-Rodriguez Medical Group,Behavioral Health,Southwest
PR0308,Armstrong-Andrews Health,General Surgery,Northeast
PR0309,"Phillips, Spence and Barrett Health",Primary Care,Southeast
PR0310,Smith-Grimes Medical Group,Nephrology,West
PR0311,"Beltran, Lozano and Mcgee Medical Group",Oncology,Southwest
PR0312,Parsons-Hall Health,General Surgery,Northeast
PR0313,Robinson-Lee Health,Cardiology,Southwest
PR0314,Byrd-Le Clinic,Radiology,Northeast
PR0315,"Becker, Taylor and Davis Clinic",Orthopedics,Northeast
PR0316,"Lucas, Parker and Alexander Clinic",Emergency Medicine,Southwest
PR0317,"Diaz, Anderson and Browning Associates",General Surgery,Southeast
PR0318,Burgess-Thompson Health,Endocrinology,West
PR0319,Buchanan LLC Medical Group,Radiology,Northeast
PR0320,"Shaw, Nelson and Martin Medical Group",Primary Care,West
PR0321,Coffey-Phillips Clinic,Radiology,Southwest
PR0322,Brock-Mcdonald Health,Endocrinology,Northeast
PR0323,Taylor and Sons Health,Behavioral Health,Midwest
PR0324,"Ramsey, Whitney and Coffey Medical Group",Endocrinology,Southwest
PR0325,"Diaz, Gibbs and Smith Health",Endocrinology,Southeast
PR0326,"Martinez, Richardson and Curry Associates",Oncology,Midwest
PR0327,Richards-Carson Health,Oncology,Northeast
PR0328,Rodriguez-Hall Clinic,Endocrinology,Midwest
PR0329,Harvey PLC Clinic,Nephrology,Midwest
PR0330,Herman-Walker Clinic,Endocrinology,Midwest
PR0331,Reid Group Clinic,Emergency Medicine,Southeast
PR0332,"Turner, Ortiz and Taylor Associates",Radiology,Midwest
PR0333,Torres Group Medical Group,Oncology,Southwest
PR0334,Davis PLC Associates,Primary Care,Northeast
PR0335,Price LLC Clinic,General Surgery,West
PR0336,"Avery, Horton and Fernandez Medical Group",Oncology,Midwest
PR0337,"Newton, Moore and Perry Medical Group",Orthopedics,Southeast
PR0338,Bass PLC Clinic,Endocrinology,West
PR0339,Crosby-Ramirez Clinic,Behavioral Health,Southwest
PR0340,"Wood, Ramos and Sampson Medical Group",Cardiology,Southeast
PR0341,Garcia-Jennings Medical Group,Oncology,West
PR0342,"Winters, Newman and Brown Medical Group",Nephrology,Northeast
PR0343,Lopez-Martinez Clinic,Endocrinology,Midwest
PR0344,Davis-Lewis Medical Group,Primary Care,Southwest
PR0345,"Harper, Smith and Buchanan Clinic",Cardiology,West
PR0346,Zhang PLC Health,Endocrinology,Northeast
PR0347,Jones PLC Associates,Cardiology,Midwest
PR0348,Willis and Sons Medical Group,Orthopedics,Southwest
PR0349,Schroeder-Kramer Health,Endocrinology,Northeast
PR0350,"Smith, Garrison and Thomas Clinic",Emergency Medicine,Southwest
PR0351,Fernandez and Sons Medical Group,Orthopedics,West
PR0352,Guerrero Inc Health,Emergency Medicine,Midwest
PR0353,Smith and Sons Clinic,General Surgery,Southwest
PR0354,"Morris, Thompson and Williams Medical Group",Nephrology,Southeast
PR0355,"Fisher, Wilson and Brown Clinic",Nephrology,Midwest
PR0356,Strickland-Palmer Medical Group,Radiology,Northeast
PR0357,Hayes and Sons Medical Group,Nephrology,Northeast
PR0358,"Williams, Logan and Camacho Clinic",Behavioral Health,West
PR0359,"Turner, Schneider and Johnson Associates",Endocrinology,Midwest
PR0360,Boone-Simmons Health,Behavioral Health,Midwest
PR0361,Henry Group Health,Behavioral Health,Southeast
PR0362,Lam LLC Health,Oncology,West
PR0363,"Hernandez, Martinez and Weber Associates",Primary Care,Midwest
PR0364,"Kelley, Nguyen and Vang Medical Group",Oncology,Northeast
PR0365,"Phillips, Wagner and Jordan Medical Group",Primary Care,West
PR0366,"Wilson, Pena and Rich Medical Group",Behavioral Health,Southwest
PR0367,"Le, Lewis and Hayes Clinic",Radiology,Southeast
PR0368,Gutierrez Group Health,Emergency Medicine,Southeast
PR0369,Perry-Davis Clinic,Primary Care,West
PR0370,Edwards-Scott Medical Group,Oncology,Southwest
PR0371,Mcdaniel Group Health,Endocrinology,West
PR0372,Davis Inc Medical Group,Endocrinology,West
PR0373,Reynolds Ltd Associates,Oncology,West
PR0374,"Watson, Anderson and Brown Health",Cardiology,Midwest
PR0375,"Hoffman, Santiago and Jenkins Associates",Orthopedics,Southwest
PR0376,"Pugh, Henderson and Moon Health",General Surgery,Midwest
PR0377,Schmitt PLC Associates,Emergency Medicine,Midwest
PR0378,Bell-Lane Associates,General Surgery,Southeast
PR0379,Moore Group Medical Group,General Surgery,Southeast
PR0380,Boone LLC Medical Group,Nephrology,Southwest
PR0381,"Richardson, Farmer and Andrews Associates",Oncology,Southwest
PR0382,Bruce-Villegas Associates,Emergency Medicine,West
PR0383,"Austin, Day and Johnson Health",Endocrinology,Southeast
PR0384,"Gallegos, Adams and White Associates",Primary Care,Southeast
PR0385,"Farmer, Dorsey and Bell Clinic",Nephrology,Midwest
PR0386,Kane PLC Medical Group,Endocrinology,Midwest
PR0387,"Morales, Thomas and Schultz Medical Group",Behavioral Health,West
PR0388,Davis PLC Clinic,Emergency Medicine,Southwest
PR0389,Bennett Group Health,Radiology,Northeast
PR0390,Moore-Collins Health,Primary Care,Midwest
PR0391,Frank-Bradley Health,Endocrinology,West
PR0392,Ware and Sons Medical Group,Nephrology,Northeast
PR0393,Webster Inc Associates,General Surgery,Northeast
PR0394,"Miller, Ramos and Coleman Clinic",Emergency Medicine,Northeast
PR0395,"Ramos, Nelson and Fischer Health",Orthopedics,Southwest
PR0396,Reed Inc Clinic,Nephrology,Midwest
PR0397,Gregory-Watkins Clinic,Radiology,Southeast
PR0398,"Estrada, Williams and Foster Health",Cardiology,Northeast
PR0399,"Brown, Harris and Dougherty Clinic",Orthopedics,Northeast
PR0400,Duran LLC Associates,Behavioral Health,West
